species1	chr1	start1	stop1	strand1	species2	chr2	start2	stop2	strand2
sorghum_bicolor	3	19435573	20029715	0	oryza_sativa	1	14742684	14828267	1
sorghum_bicolor	3	4103776	4137391	0	oryza_sativa	1	7857828	7900550	1
sorghum_bicolor	3	11776050	11862433	0	oryza_sativa	1	9379123	9456923	1
sorghum_bicolor	3	49271787	50808418	0	oryza_sativa	1	20351529	21115731	1
sorghum_bicolor	3	7777903	8003700	0	oryza_sativa	1	1240943	1488897	1
sorghum_bicolor	3	25612	10005557	0	oryza_sativa	1	2983	8153685	1
sorghum_bicolor	3	5370208	5442122	1	oryza_sativa	1	8202020	8296089	1
sorghum_bicolor	3	10086181	21193316	1	oryza_sativa	1	8175587	15171859	1
sorghum_bicolor	3	45316709	74423167	1	oryza_sativa	1	18923609	43178814	1
sorghum_bicolor	2	46938005	47773072	0	oryza_sativa	9	6233897	7181868	1
sorghum_bicolor	2	65589798	65728013	0	oryza_sativa	9	20641465	20754647	1
sorghum_bicolor	2	22500353	23476719	1	oryza_sativa	9	410636	918051	1
sorghum_bicolor	2	18590962	22498045	1	oryza_sativa	9	22367879	22916732	1
sorghum_bicolor	2	39956925	67440822	1	oryza_sativa	9	5395272	22291728	1
sorghum_bicolor	2	1132783	1170362	0	oryza_sativa	7	972942	1090092	1
sorghum_bicolor	2	1132783	1170362	0	oryza_sativa	7	1067127	1095776	1
sorghum_bicolor	2	1539127	1676096	0	oryza_sativa	7	1101854	1163369	1
sorghum_bicolor	2	9622501	9694084	0	oryza_sativa	7	8321651	8482663	1
sorghum_bicolor	2	69888244	69962252	0	oryza_sativa	7	21133305	21282626	1
sorghum_bicolor	2	75240102	75283120	0	oryza_sativa	7	27545277	27587362	1
sorghum_bicolor	2	10449544	11187647	0	oryza_sativa	7	1105853	1163369	1
sorghum_bicolor	2	10427057	11143047	0	oryza_sativa	7	1105853	1163369	1
sorghum_bicolor	2	1132783	1159028	0	oryza_sativa	7	972942	1081638	1
sorghum_bicolor	2	661375	809775	0	oryza_sativa	7	575571	763372	1
sorghum_bicolor	2	16454028	16941473	0	oryza_sativa	7	15358960	15600607	1
sorghum_bicolor	2	77217246	77396089	0	oryza_sativa	7	29144895	29259496	1
sorghum_bicolor	2	1132783	1169264	0	oryza_sativa	7	972942	1086230	1
sorghum_bicolor	2	74681495	74760967	0	oryza_sativa	7	26618661	26679935	1
sorghum_bicolor	2	1140318	1170362	0	oryza_sativa	7	1076918	1095776	1
sorghum_bicolor	2	10347735	10522511	0	oryza_sativa	7	1105853	1159170	1
sorghum_bicolor	2	10347735	10522511	0	oryza_sativa	7	1106840	1163369	1
sorghum_bicolor	2	5243834	5285613	0	oryza_sativa	7	4312794	4342192	1
sorghum_bicolor	2	67442289	67489658	0	oryza_sativa	7	16600103	16745394	1
sorghum_bicolor	2	1539127	1576281	0	oryza_sativa	7	1105853	1159170	1
sorghum_bicolor	2	1558464	1579429	0	oryza_sativa	7	1106840	1163369	1
sorghum_bicolor	2	68289845	68533406	0	oryza_sativa	7	18338217	18842537	1
sorghum_bicolor	2	10347735	10522511	1	oryza_sativa	7	1106840	1163369	1
sorghum_bicolor	2	1558464	1579429	1	oryza_sativa	7	1105853	1159170	1
